"","systems","sysname","ref_order","blackhole_prob","bh_se","non_pulsar_prob","np_se","pulsar_prob","p_se","source_type"
"33","SMCX-1","SMCX-1",33,0.139038463221549,0.0181573704526126,0.173385369307936,0.0148969518813049,0.686389189752896,0.0291011570794698,"Pulsar"
"34","LMCX-4","LMCX-4",34,0.184092406593635,0.0171663512769541,0.346419325010814,0.0154792748211282,0.470575420789388,0.0125931688464159,"Pulsar"
"35","1A0535+262","1A0535+262",35,0.0996824051399063,0.00553183939128886,0.344548576420465,0.016040735313648,0.555150311430053,0.0167902095890839,"Pulsar"
"36","VelaX-1","VelaX-1",36,0.262315996758848,0.0203283167487041,0.112271639813804,0.0121114394056572,0.620169440472897,0.0283315123505839,"Pulsar"
"37","GROJ1008-57","GROJ1008-57",37,0.140209099758564,0.0063356396829084,0.279917524056865,0.00994794120042779,0.584708286236784,0.0143896546834934,"Pulsar"
"38","CenX-3","CenX-3",38,0.103014707269953,0.0036258234478007,0.143384665039701,0.0120677316829234,0.75400585540867,0.013423717101376,"Pulsar"
"39","GX301-2","GX301-2",39,0.184571060459703,0.0220722272071571,0.0766820264051898,0.00990981552521018,0.743027292236969,0.0230345817660799,"Pulsar"
"40","4U1538-52","4U1538-52",40,0.106572808066332,0.00648418126157364,0.224897844003712,0.00739373370323632,0.671661923392028,0.00888731714161244,"Pulsar"
"41","4U1626-67","4U1626-67",41,0.1190120959275,0.00860480691519134,0.273427616403953,0.022502167799903,0.617340872860631,0.0237299755772307,"Pulsar"
"42","HerX-1","HerX-1",42,0.0672238981679016,0.00495402263144789,0.0870565999884206,0.00843608164306738,0.844686088489767,0.0118012210762956,"Pulsar"
"43","OAO1657","OAO1657",43,0.147772971674001,0.00436413046503726,0.231484632667694,0.010125388629668,0.618587809104495,0.0105428337616535,"Pulsar"
"44","4U1822-37","4U1822-37",44,0.0991189771700105,0.0100107537771563,0.108003632135343,0.0122823497345886,0.793417209307055,0.0175254458857299,"Pulsar"
